"Occupancy Rate by Region (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Northland","","","Auckland","","","Waikato","","","Bay of Plenty","","","Hawke's Bay, Gisborne","","","Taranaki, Manawatu, Wanganui","","","Wellington","","","Nelson, Marlborough, Tasman","","","Canterbury","","","West Coast","","","Otago","","","Southland","","","North Island","","","South Island","","","New Zealand","",""
" ","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks","Occupancy rate","Occupancy rate excluding holiday parks","Capacity (stay units) excluding holiday parks"
"1996M07",15.77,31.29,2968,46.99,59.98,8486,20.91,42.48,4458,25.69,54.76,4067,21.11,43.14,1895,25.74,37.61,4487,45.74,57.42,4018,15.57,33.53,2554,30.60,46.94,7785,17.69,23.78,1922,28.69,48.08,5666,16.35,22.37,1802,"..","..",30379,"..","..",19729,27.63,45.99,50108
"1996M08",13.25,28.31,3092,48.09,62.42,8531,19.16,39.38,4518,21.79,45.14,4202,19.61,39.99,1935,22.66,33.84,4655,46.41,57.52,4091,15.59,32.48,2757,27.48,43.02,7985,17.19,22.69,2066,31.60,53.99,5830,16.05,23.38,1847,"..","..",31024,"..","..",20485,26.33,44.57,51509
"1996M09",15.43,32.95,3514,47.49,61.05,8628,21.34,43.08,4695,26.51,52.37,4455,22.83,43.09,1991,26.55,40.12,4776,47.44,59.31,4103,19.25,40.10,2775,32.07,49.29,7999,23.77,28.43,2122,30.16,53.23,5935,19.95,28.10,1825,"..","..",32162,"..","..",20656,28.70,47.94,52818
"1996M10",20.11,40.93,3262,49.31,63.17,8736,23.96,47.20,4517,28.01,56.72,4395,24.83,46.54,1984,27.20,40.51,4727,49.24,60.79,4082,20.82,43.27,2808,32.89,50.01,7983,30.68,36.49,2261,28.72,49.73,5908,25.78,35.59,1929,"..","..",31703,"..","..",20889,30.54,50.30,52592
"1996M11",22.21,45.44,3417,57.70,74.19,8783,26.27,53.01,4573,31.36,64.44,4380,26.09,47.61,1985,29.09,44.14,4685,55.92,69.46,4127,25.75,54.10,2856,34.03,62.59,8113,37.12,46.93,2256,32.06,55.19,6070,34.07,45.38,2022,"..","..",31950,"..","..",21317,34.20,58.47,53267
"1996M12",27.22,46.65,3442,50.32,60.86,8780,28.06,47.28,4587,33.35,57.75,4394,30.06,43.88,2010,24.16,32.55,4629,45.07,55.56,4103,33.45,53.06,3000,32.77,52.74,8155,34.58,41.62,2262,34.50,53.10,6086,36.92,45.13,2027,"..","..",31945,"..","..",21530,34.02,51.06,53475
"1997M01",36.93,57.39,3477,55.56,64.87,8800,38.58,53.23,4591,47.35,65.34,4401,42.97,56.15,2065,28.72,35.76,4674,46.25,55.02,4142,49.20,65.31,3051,38.37,56.96,8185,44.80,53.38,2279,41.43,54.24,6146,42.32,48.56,2033,"..","..",32150,"..","..",21694,42.43,56.32,53844
"1997M02",29.12,56.26,3536,62.34,75.44,9272,31.54,57.26,4628,37.90,68.29,4425,37.04,58.66,2069,31.03,44.35,4705,58.62,74.19,4122,40.34,69.05,3080,40.12,70.75,8190,46.78,57.31,2299,44.01,69.26,6168,49.47,58.95,2031,"..","..",32757,"..","..",21768,41.52,65.51,54525
"1997M03",24.79,48.91,3520,59.24,71.55,9281,30.62,56.73,4624,35.53,65.17,4574,32.25,53.03,2082,29.13,41.74,4700,52.23,66.00,4137,33.69,60.91,3081,34.15,58.84,8214,41.95,51.44,2279,39.41,62.04,6138,43.23,52.61,2031,"..","..",32918,"..","..",21743,37.41,59.50,54661
"1997M04",18.97,40.24,3462,50.97,63.13,9237,23.43,45.60,4621,29.02,55.18,4576,28.06,48.88,2104,26.20,38.25,4697,47.74,61.80,4144,25.32,49.43,3054,28.23,50.96,8253,31.52,40.00,2244,31.33,51.82,6120,28.93,37.10,2024,"..","..",32841,"..","..",21695,30.59,50.93,54536
"1997M05",14.24,31.68,3366,45.12,56.37,9222,18.55,37.83,4605,23.08,44.68,4561,21.15,38.89,2082,23.31,33.73,4626,42.47,55.00,4122,17.70,35.35,2964,25.73,39.95,8227,19.20,24.83,2217,20.42,36.02,6208,19.26,26.31,1959,"..","..",32584,"..","..",21575,24.72,41.21,54159
"1997M06",11.59,25.74,3329,40.71,51.10,9185,17.54,36.38,4598,20.24,40.19,4498,19.23,37.25,2098,20.44,30.09,4581,39.18,50.19,4162,15.72,31.92,2858,21.95,33.78,8322,14.74,19.59,2206,17.64,31.21,6113,14.09,21.93,1773,"..","..",32451,"..","..",21272,21.76,36.73,53723
"1997M07",14.18,31.87,3178,44.24,54.62,9147,20.52,42.60,4514,24.55,47.77,4470,20.15,37.46,2041,26.08,36.78,4731,41.67,52.40,4115,17.01,36.21,2746,27.27,42.34,8197,15.56,20.89,2194,24.82,43.21,6112,14.94,24.39,1741,"..","..",32196,"..","..",20990,25.59,42.71,53186
"1997M08",12.95,28.10,3178,46.97,58.44,9011,18.61,37.42,4587,21.99,41.63,4656,19.35,36.73,2047,24.89,36.16,4816,40.53,51.15,4106,17.38,35.42,2799,26.46,40.64,8291,15.42,20.37,2195,31.90,52.39,6343,15.13,24.13,1741,"..","..",32401,"..","..",21369,25.88,42.70,53770
