"Visitor arrivals by country of residence, purpose and NZ port (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","TOTAL ALL COUNTRIES OF RESIDENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Business","","","","","","","","","Holiday/Vacation","","","","","","","","","Visit Friends/Relatives","","","","","","","","","TOTAL ALL TRAVEL PURPOSES","","","","","","","",""
" ","Auckland airport","Christchurch airport","Dunedin airport","Hamilton airport","Palmerston North airport","Rotorua airport","Wellington airport","Queenstown airport","TOTAL NEW ZEALAND PORTS","Auckland airport","Christchurch airport","Dunedin airport","Hamilton airport","Palmerston North airport","Rotorua airport","Wellington airport","Queenstown airport","TOTAL NEW ZEALAND PORTS","Auckland airport","Christchurch airport","Dunedin airport","Hamilton airport","Palmerston North airport","Rotorua airport","Wellington airport","Queenstown airport","TOTAL NEW ZEALAND PORTS","Auckland airport","Christchurch airport","Dunedin airport","Hamilton airport","Palmerston North airport","Rotorua airport","Wellington airport","Queenstown airport","TOTAL NEW ZEALAND PORTS"
"1978M04",3428,468,0,0,0,0,492,0,4408,10476,4244,0,0,0,0,856,0,15724,2468,480,0,0,0,0,348,0,3324,19856,6240,0,0,0,0,2116,0,28524
"1978M05",2264,524,0,0,0,0,428,0,3236,7168,3268,0,0,0,0,744,0,11220,2420,616,0,0,0,0,516,0,3568,15428,5240,0,0,0,0,2156,0,23060
"1978M06",2136,280,0,0,0,0,384,0,2880,4640,1656,0,0,0,0,352,0,6724,1964,328,0,0,0,0,308,0,2600,11416,2708,0,0,0,0,1252,0,15760
"1978M07",2156,324,0,0,0,0,380,0,2964,6184,3472,0,0,0,0,528,0,10216,2356,408,0,0,0,0,368,0,3144,14072,4900,0,0,0,0,1480,0,20892
"1978M08",2304,536,0,0,0,0,496,0,3416,8236,5216,0,0,0,0,1140,0,14676,2868,700,0,0,0,0,624,0,4204,17960,7900,0,0,0,0,2748,0,28992
"1978M09",2368,708,0,0,0,0,388,0,3544,7244,3340,0,0,0,0,588,0,11232,2024,444,0,0,0,0,316,0,2804,15392,5712,0,0,0,0,1612,0,23048
"1978M10",3060,736,0,0,0,0,664,0,4488,13936,5048,0,0,0,0,820,0,19880,2788,536,0,0,0,0,464,0,3796,24532,7932,0,0,0,0,2300,0,35052
"1978M11",3104,720,0,0,0,0,692,0,4568,15368,6160,0,0,0,0,836,0,22516,5352,704,0,0,0,0,476,0,6532,28544,9148,0,0,0,0,2436,0,40564
"1978M12",2332,600,0,0,0,0,408,0,3348,24292,9688,0,0,0,0,3196,0,37524,12572,2736,0,0,0,0,2668,0,18180,46332,14964,0,0,0,0,7156,0,69304
"1979M01",2520,632,0,0,0,0,396,0,3592,17836,8212,0,0,0,0,1668,0,27968,6340,1368,0,0,0,0,956,0,8680,33380,12412,0,0,0,0,3656,0,49968
"1979M02",2908,604,0,0,0,0,692,0,4228,15776,6048,0,0,0,0,1168,0,23284,4440,716,0,0,0,0,652,0,5896,29256,8868,0,0,0,0,3072,0,42068
"1979M03",3236,552,0,0,0,0,656,0,4460,15048,7896,0,0,0,0,1340,0,24360,3868,804,0,0,0,0,572,0,5256,27224,10948,0,0,0,0,3076,0,41512
"1979M04",2736,564,0,0,0,0,512,0,3832,10908,4896,0,0,0,0,864,0,16760,3500,864,0,0,0,0,884,0,5264,19668,6736,0,0,0,0,2420,0,29272
"1979M05",2768,720,0,0,0,0,632,0,4140,8356,3992,0,0,0,0,912,0,13328,3224,744,0,0,0,0,752,0,4728,16792,6100,0,0,0,0,2692,0,25868
"1979M06",2676,504,0,0,0,0,260,0,3452,5288,1804,0,0,0,0,284,0,7416,2920,672,0,0,0,0,372,0,3972,13736,3308,0,0,0,0,972,0,18216
